"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Costa Rica","CRI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.77465687839132","1.5403947518284","1.49856118270525","1.14121981034053","1.42861414794708","1.50759229419598","1.01490021038195","1.0485612360156","1.43436425752235","1.66100280383834","2.0385951040419","1.4122389762506","1.65434067718837","1.81400175347456","1.83391204659709","2.85264555498343","2.06674008952199","1.67519051896497","2.67844766994025","2.59773367550036","2.65075518276957","2.74624011836295","2.11936833498397","1.50810164772673","2.1126484886382","1.72118979293472","2.67649019674636","2.32839853351037","2.58422383036042","1.89113671500097","2.42331100108932","2.17457487061279","","","",
"Costa Rica","CRI","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.196929156780243","","0.205379649996758","","0.193243935704231","","0.163387194275856","0.164992913603783","0.158213093876839","0.155412510037422","0.13812555372715","0.131700798869133","0.132142022252083","0.133717730641365","0.135107636451721","0.137637257575989","0.129824116826057","0.127141728997231","0.127513319253922","0.129311382770538","0.125674158334732","0.126298487186432","0.129241615533829","0.123336620628834","0.128371998667717","0.129590183496475","0.127993568778038","0.125135689973831","",
"Costa Rica","CRI","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","7","","8","","10","10","12","13","14","15","15","15","14","13","14","14","13","13","13","13","13","12","11","11","11","11","",
"Costa Rica","CRI","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4447177937153","39.5732947768777","44.260129285147","40.1473130677601","40.9971303230342","39.7898301713494","43.4415513820508","36.5061833752317","16.9840779616817","18.4424705219172","18.4952181840988","18.4668840173132","17.5649349958823","15.681961032421","16.9670005542705","21.9748960011818","24.177789153066","",
"Costa Rica","CRI","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","10.6320089902","10.6999383678","9.2383953526","9.2617460785","10.6818946327","10.3592300891","11.8929480633","12.2941559536","13.221816514","15.014515248","15.3711444804","16.9579322816","19.5381872332","27.8669657667","30.5491147909","36.8930818175","39.8915270038","46.006232384","58.6485263947","70.7144821238","62.0885125353","53.292719534","55.8719130887","64.7685387781","66.8835836472","74.5779654588","87.0345150718","99.1025935636","100.871941578","93.2298865988","100.2818051055","110.4743959538","121.3537103378","121.8589350572","119.4071090576","100","109.9708556957","114.2973418853","122.0072974206","125.9237938524","130.7544520507","164.4484644245","","","",
"Costa Rica","CRI","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","","","","1.50107219442459","0.119189511323004","0.42926284837363","0.00232808273074792","0.0884300302996297","0.0652022222137489","0.093340547450221","0.0797201151619495","0.0598281867890191","0.0126694099699579","0.0390361122060093","0.00194924681103222","0.0108538390700162","0.0335561917545216","0.0694351659658274","0.202942971711016","0.595065690926336","0.209357776319075","0.204196353588167","0.0713503045129068","0.141843034591581","0.166071776503704","0.116644657802894","0.0824329684736087","0.0745445428048711","0.0701039761096646","0.108903737659501","0.111381299732763","0.179376562259032","0.218868712567275","0.175335729910306","0.263420919051729","0.17737892014846","0.06257754964377","0.0678625154178125","0.0702278056592274","0.0541279161876444","0.128854425158566","0.133238358315456","0.0751017435042088","0.0822907270952918","0.10901952920099","0.121050278840154","0.138946983652957","0.120445424347774","0.0817049273254476","0.114128647569569","0.0737062562901716","0.097354036822387","0.0782065429165859","0.0326591305065133","0.0387568891834836","0.0602150223030626","0.056930992276177","0.133165667163972","0.125805439678328","0.0819527124755792","",
"Costa Rica","CRI","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","0.0541445354055693","0.00632817270848956","","0.0162599253294198","","","","0.0577379480425605","","0.347281034626055","0.895624721535725","0.446143882334368","0.0541569688112756","0.0265263367016137","","","0.00737912536636528","0.0158921019330701","","","","","0.00509965439042088","0.0138561129959561","0.242965271771824","0.230693411209466","0.6091876477657","0.585670838979674","0.114671606427012","0.0579241305771499","0.0485849427574669","0.00989526554877516","0.00129208840987757","0.0810440649268782","0.0166990618311974","0.0190113278659047","0.0412105374743949","0.00850061091379361","0.213823745491906","0.331267377380775","0.0862085360306563","0.404765420160867","0.382605904066779","0.399853206616994","0.622369755496167","0.589440077419894","0.431321185958792","0.555530848031007","0.554576683877479","0.499039230434382","0.36799764695204","0.317336422921325","",
"Costa Rica","CRI","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","84000000","84000000","93000000","95000000","114000000","112000000","136000000","144000000","171000000","190000000","231000000","225000000","281000000","345000000","440000000","493000000","593000000","828000000","865000000","934000000","1002000000","1008000000","870000000","873000000","1006000000","976000000","1121000000","1158000000","1246000000","1415000000","1448000000","1598000000","1841000000","2626000000","2878000000","3476000000","3758000000","4335000000","5526000000","6662000000","5850000000","5021000000","5264000000","6102000000","6301000000","7026000000","8200000000","9337000000","9504000000","8784000000","9448000000","10408000000","11433000000","11480000000","11250000000","9422000000","10361000000","10769000000","11495000000","11864000000","12319000000","15494000000","16597000000","19025000000","",
"Costa Rica","CRI","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","0.081366965012205","0.517751479289941","0.949152542372881","0.710382513661202","1.03785103785104","0.728987993138937","1.24952669443393","0.155884645362432","","","","","","","1.47969198248528","","","","-0.143871953960975","0.157230292525042","0.369575038744617","0.342253392490614","0.25584072934879","0.124743762309403","0.175535071793695","0.207643320832399","0.184783074110006","0.424450504714117","0.373226692732832","0.347206587042211","0.334549798650229","0.351304968299629","0.334013236258853","0.306723752613084","0.307777832996938","0.294401764140908","0.624236014330492","1.24289423662626","0.877448673097236","1.07217148144669","1.05380309592795","1.03118686969669","0.965153071953106","1.16148105365919","1.03331480776608","0.93121332539932","1.10345631655908","",
"Costa Rica","CRI","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","1.97706490212074","2.59865461453812","1.8848742896899","1.95275114239294","1.56878248765521","0.817393393153113","0.614172499231637","0.54334677775384","0.782254823197798","0.708108657114653","0.509826890696655","0.877436801478312","1.1371965017137","1.97157475816284","1.09880917030313","1.3147584940521","0.965854037648655","1.26960398402585","1.45040286237654","1.96844178984701","2.45351733071642","2.66704349279961","3.47338010314752","","","","","","","5.17247326414874","4.95544076470506","6.72300457345656","4.79061784367522","4.48437124714569","2.45613279663803","3.00174253835401","3.37783292501372","3.41247791644975","3.07027001119044","3.33333971935751","2.99597105708273","3.09807167944351","2.23732042458395","2.54512026586132","1.93900227144795","2.65724842050275","2.55350012156459","2.38837874658171","2.15642853164522","2.19694280572345","2.53580988192383","2.2395665717591","2.10408208966107","1.89231395920729","1.8073658935028","1.59028167217556","1.68950886646394","1.4794386570959","1.23696114075763","",
